Bin ID,Completeness (%),Contamination (%),GC(%),N50 (scaffolds),Genome size (bp),Taoxnomy
Bin94,88.55,2.37,0.472,12108,3080672,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin99,98.11,2.291,0.5379999999999999,37372,2474714,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum;Faecalibaculum rodentium
Bin100,96.3,2.013,0.35700000000000004,11230,3256359,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin106,93.99,0.961,0.607,134190,1946675,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
Bin107,97.07,0.0,0.436,708857,2675646,Bacteria;Firmicutes
Bin109,98.1,0.949,0.366,29503,3564872,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin110,96.13,0.483,0.456,47503,2771746,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin118,97.91,1.262,0.403,105687,3697395,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin119,95.45,0.0,0.451,45905,3447691,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin120,61.05,2.785,0.454,3197,1365372,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae
Bin123,97.74,1.127,0.4370000000000001,94915,4915993,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae
Bin124,64.16,2.013,0.403,76690,982599,Bacteria
Bin125,62.39,0.57,0.341,3121,1049020,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter apodemus
Bin130,95.66,0.5660000000000001,0.498,68143,2758126,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin131,94.3,0.949,0.519,118417,3743617,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin135,86.47,1.23,0.521,7480,2033954,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin138,87.67,0.377,0.474,24287,2351565,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Bin142,94.57,3.265,0.498,9664,3247287,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin143,87.57,0.328,0.438,21952,1814307,Bacteria
Bin147,77.47,1.971,0.438,5427,2823132,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae
Bin153,61.12,2.037,0.531,9420,1765342,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella
Bin155,96.9,0.476,0.485,97860,2704922,Bacteria
Bin159,91.42,2.3480000000000003,0.609,23248,2992309,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin160,74.86,1.23,0.45,4472,2228334,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin161,88.74,0.09,0.454,8280,4048299,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides
Bin167,65.12,4.467,0.401,3605,2824044,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin171,68.1,0.0,0.528,6781,2389148,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin174,61.15,1.315,0.438,7264,2681953,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Bin178,89.83,2.109,0.467,8796,3297978,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin188,77.22,0.0,0.485,86622,2229854,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Bin189,97.98,0.0,0.402,217321,3096120,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin191,96.3,0.125,0.508,36382,2748605,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale
Bin196,99.36,1.476,0.508,47464,4232152,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin197,94.4,2.013,0.489,12587,2973884,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Bin202,99.61,0.512,0.453,110242,4076830,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Bin204,93.12,0.0,0.441,77659,1858381,Bacteria
Bin208,92.46,0.754,0.522,20787,2322343,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella
Bin210,69.46,2.9160000000000004,0.451,4287,3247779,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin213,64.48,0.0,0.568,4298,1688636,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin214,100.0,0.48,0.5479999999999999,174032,1961400,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
Bin217,87.54,1.257,0.541,14826,2668329,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin218,97.61,0.5660000000000001,0.485,30735,2884299,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin221,93.27,0.399,0.466,151171,4061643,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Bin222,97.11,0.961,0.637,37473,1720462,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
